"method" "n" "iter" "mindist" "MSTmean" "MSTsd"
"37" "cLHS" 100 7 0.152802933707183 0.330243010879731 0.0822410557522706
"38" "cLHS" 100 8 0.166030410694362 0.354274313674217 0.0861235409061083
"39" "cLHS" 100 9 0.169146742634664 0.357580589225744 0.0779223093041579
"40" "cLHS" 100 10 0.162766174901475 0.342271381608618 0.0887241220645063
"41" "cLHS" 100 11 0.134428163654454 0.357527534653314 0.0886484467050563
"42" "cLHS" 100 12 0.159201351617823 0.351927606969281 0.0854904463282795
"43" "cLHS" 100 13 0.138879995458544 0.352661989694367 0.0804193788708952
"44" "cLHS" 100 14 0.168534240018368 0.335042775062826 0.0750299981495868
"45" "cLHS" 100 15 0.185775641101892 0.363591170130731 0.0840671324719632
"46" "cLHS" 100 16 0.127204672435604 0.316612155293251 0.0898395734845151
"47" "cLHS" 100 17 0.179049565660613 0.350454231435348 0.0841870594027763
"48" "cLHS" 100 18 0.131716887034778 0.364634730867457 0.093613758043403
"49" "cLHS" 100 19 0.15271976968521 0.358856143397013 0.0896224330372074
"50" "cLHS" 100 20 0.146665796110003 0.350795387798665 0.0868604320245119
"51" "cLHS" 100 21 0.159828845877876 0.354863855276286 0.0951742106843423
"52" "cLHS" 100 22 0.178930685502162 0.335243942411941 0.0870738010207743
"53" "cLHS" 100 23 0.137491467576289 0.340460400044101 0.0916587046654044
"54" "cLHS" 100 24 0.127557703548609 0.337229976091556 0.0952649908603657
"55" "cLHS" 100 25 0.186119604760636 0.347572498388026 0.0821482279027331
"56" "cLHS" 100 26 0.186757825556785 0.35065298352473 0.0766611451194705
"57" "cLHS" 100 27 0.142031872752388 0.352517976367354 0.0870350651238907
"58" "cLHS" 100 28 0.129799302570237 0.311855473082789 0.0861421079203244
"59" "cLHS" 100 29 0.15994331802112 0.358352511632993 0.0867503253560392
"60" "cLHS" 100 30 0.190520328201699 0.333120477270165 0.0897299565107793
"61" "cLHS" 150 1 0.176914050094624 0.320667065325854 0.0686346961021934
"62" "cLHS" 150 2 0.11862302029945 0.318856395296704 0.0826016738295618
"63" "cLHS" 150 3 0.157669130761961 0.32904643130179 0.0745529586292588
"64" "cLHS" 150 4 0.118408950216983 0.322750356953896 0.0754811295674408
"65" "cLHS" 150 5 0.146790262639374 0.331552279325818 0.0783897412296989
"66" "cLHS" 150 6 0.158492698609221 0.319397690553991 0.0803126068603479
"67" "cLHS" 150 7 0.1300786184974 0.311173193945586 0.0839528420237614
"68" "cLHS" 150 8 0.164042886776322 0.323010357100058 0.0680305896393759
"69" "cLHS" 150 9 0.148499712435342 0.331603591616498 0.0749888892383181
"70" "cLHS" 150 10 0.123497032327642 0.30636871997487 0.0699567676943269
"71" "cLHS" 150 11 0.140471952973179 0.325241592040622 0.077708731954175
"72" "cLHS" 150 12 0.118363039991583 0.293952407466708 0.0802288081188839
"73" "cLHS" 150 13 0.12428412239481 0.321310583089927 0.076716518336927
"74" "cLHS" 150 14 0.135478434699934 0.298397732338062 0.0710949550378231
"75" "cLHS" 150 15 0.125701353683944 0.315655099129201 0.0772900555767992
"76" "cLHS" 150 16 0.121359535720315 0.331870349295566 0.0855392471178699
"77" "cLHS" 150 17 0.140722228650172 0.332223356251053 0.080658401484499
"78" "cLHS" 150 18 0.146240069063598 0.320027366528435 0.0789432888383776
"79" "cLHS" 150 19 0.144709215808504 0.32133268331156 0.0804662967013645
"80" "cLHS" 150 20 0.148196640704961 0.315549254912388 0.0789395920335954
"81" "cLHS" 150 21 0.156020258147673 0.306065888704807 0.0723969584003828
