"Demand" "Mead.PE" "Powell.PE" "Scenario" "TraceNumber" "mean" "median" "min" "max" "Driest2yrAVG" "Wettest2yrAVG" "Driest5yrAVG" "Wettest5yrAVG" "Driest8yrAVG" "Wettest8yrAVG" "Driest10yrAVG" "Wettest10yrAVG" "Driest20yrAVG" "Wettest20yrAVG" "LowQ.MaxDur" "LowQ.Freq" "HighQ.MaxDur" "HighQ.Freq" "NonHighQ.MaxDur" "LowQ.AvgDur" "HighQ.AvgDur" "NonHighQ.AvgDur"
"782803" 4.62349290805869 1083.47622048925 3539.90320638986 "DPNF" 564 15.6560820578636 15.135807245 7.406562435 23.45334479 8.8231648175 22.504648535 10.984683489 20.101172818 12.610065744375 18.266333295625 13.6980434365 18.3082327875 14.35050971605 16.46488479225 3 9 4 15 10 1.8 2.5 5.8
"1752305" 5.34618899188936 1087.39672248717 3468.89944020077 "PCNF" 290 13.7632018636364 12.7983455 8.474133 22.287631 9.8307605 20.684398 10.4166748 19.4097828 11.53579675 17.317610125 11.3742522 16.6821937 11.89666525 14.6164242 6 19 3 8 24 2.71428571428571 1.6 7.2
"1792452" 4.47821458429098 1107.29762368253 3661.49308083113 "PCNF" 330 15.5791375909091 15.650022 6.17819 25.425589 8.802532 22.784237 13.1997968 19.6695514 13.163161625 17.56700925 13.7511033 18.1995854 14.0924806 17.08802765 2 11 3 16 8 1.22222222222222 1.33333333333333 2.33333333333333
"1028672" 5.45425161696039 1111.4354558161 3557.12263481109 "DPNF" 810 14.4052327704773 15.26545317 5.576277473 20.17392567 8.2768014565 19.925195305 10.2533619328 18.603409956 11.367758453 17.300134400625 11.9845981415 17.3550350955 12.4931185457 16.12101777435 3 15 3 13 15 2.14285714285714 2.16666666666667 5.16666666666667
"1624331" 5.30192991960794 1017.08503201255 3558.03354211967 "PCNF" 162 14.5487232727273 13.731401 6.270823 25.425589 7.9117785 24.3062915 9.6103182 20.5609614 9.4832305 19.584000125 10.7610361 18.5189305 12.1183101 16.87596135 8 16 3 11 8 3.2 1.375 4.125
"1874882" 5.03325239005499 1024.88465715898 3596.2779241323 "PCNF" 412 13.3740409772727 13.4359085 5.442594 21.757981 7.509545 19.356158 9.621214 17.4709092 11.42766425 15.944118125 11.6694294 15.4635847 12.02978475 13.72759275 6 21 1 7 11 3 1 5.28571428571429
"1697412" 4.29169919416308 1012.19834936783 3657.49937727232 "PCNF" 235 14.0976288863636 13.520955 6.270823 24.426364 8.4753335 22.6878095 10.2983572 21.6431124 10.91242125 18.664257 11.6608631 18.1637813 12.43837595 15.75613425 5 19 3 9 9 1.72727272727273 1.5 5
"1781560" 4.94197553107515 1075.27207561303 3524.47239548201 "PCNF" 319 13.4072669318182 11.597495 5.442594 24.426364 6.969348 20.262505 8.614573 19.0725652 10.469828375 18.4332085 10.4024334 16.4416335 11.4562834 15.42347785 14 26 2 9 14 5.2 1.28571428571429 5
"1813334" 5.73662081309594 1048.89087843942 3671.90632267739 "PCNF" 351 14.5936801363636 14.588269 6.17819 23.186994 7.3834625 23.064899 10.0610694 18.2754236 11.6083645 17.427290875 12.3539181 16.9026119 13.39073105 16.02053535 4 16 2 10 10 1.77777777777778 1.25 3.77777777777778
"574717" 5.96758115510456 1126.42617940321 3547.2903844784 "DPNF" 356 13.5097369540682 13.009694185 9.277246006 23.8230334 9.821863558 19.61193186 10.3608398632 16.47137433 11.1153689845 14.89921156875 11.4656913116 14.4289250233 12.4458460098 14.21200069215 5 16 2 3 31 2 1.5 20.5
"134127" 4.51969915442169 1145.83555352176 3496.72297420911 "GCM" 28 14.1688358968182 13.955113815 6.36532398 23.40364191 8.495502365 21.149517695 11.086086894 17.660963634 11.25282135625 16.3210647825 11.559432729 16.182084385 13.066195129 15.475275452 3 19 3 10 15 1.72727272727273 2 5.66666666666667
